StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.833722807854713,7,1,2,0,0,1,0,2.929195591667681,2.0
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0
1004,17,1,0,3,10.028829473958215,14,0,3,1,0,0,0,2.0542181397029484,3.0
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0
1007,15,0,1,1,15.601680474699295,10,0,3,0,1,0,0,2.748237414891583,2.0
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0
1010,16,1,0,1,18.444466363097202,0,0,3,1,0,0,0,3.5734742103297656,0.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402773,4.0
1013,17,0,1,1,10.038711615617213,21,0,3,1,0,0,0,1.520077814874808,4.0
1014,17,0,1,2,12.101425068754875,21,0,4,0,1,0,0,1.7515809583340785,4.0
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0
1016,15,0,0,2,9.728100710723563,17,1,0,0,1,0,0,1.3415207165346672,4.0
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.2321752777159762,3.0
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4.0
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945306996,3.0
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2.0
1022,15,0,0,2,15.323142031655559,25,0,1,1,0,0,0,0.34689403670501484,4.0
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,4.0
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,4.0
1025,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,4.0
1026,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743,2.0
1027,16,0,0,1,10.367992532661303,2,0,2,0,1,0,0,2.948717671911921,2.0
1028,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.1452047204671914,3.0
1029,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318,2.0
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139,4.0
1031,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409,4.0
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387906,4.0
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.38461697285648777,4.0
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,4.0
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,4.0
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521,4.0
1037,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,0.21828485682103177,4.0
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796,4.0
1039,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,3.0189058584279675,1.0
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231,4.0
1041,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,1.0582873996898603,4.0
1042,17,0,0,1,14.294046327645153,7,0,2,0,0,0,0,2.625128097732231,2.0
1043,16,1,3,2,18.754092307587353,12,1,4,0,0,0,0,2.8087548220286536,2.0
1044,18,1,0,1,18.245091222023113,9,0,2,0,1,0,0,2.8888916692724433,2.0
1045,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,4.0,0.0
1046,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.515300272256249,2.0
1047,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.5637654300150947,2.0
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.7036118032323682,4.0
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854,3.0
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955,3.0
